FD avanti
BK indietro
LT sinistra
RT giusto
SetHeading impostareintestazione
Towards verso
SetXY impostarexy
PenDown pennagiu
PenUp pennaup
ShowTurtle mostraretartaruga 
HideTurtle nasconderetartaruga
Home casa
ClearScreen cancellareschermo
XCor xcor
YCor ycor
Heading intestazione
PenDownP pennagiup
ShowingP pennaup
Sum addizione
Sum +
Difference sottrazione
Difference -
Product moltiplicazione
Product *
Quotient divisione
Quotient /
Remainder restanteparte
Remainder %
Minus meno
Minus ~
Random casuale
Sin sin
Cos cos
Tan tan
ATan atan
Log log
Pow pow
LessP inferiore
GreaterP maggiore
EqualP uguale
NotEqualP non uguale
And e
Or o
Not non
Make fare
Repeat ripetere
DoTimes farevolte
For per
If se
IfElse sealtro
To a
SetBackground impostaresfondo
SetPenColor impostarepennacolore
SetPenSize impostarepennaportata
SetShape impostareforma
SetPalette impostaregammacolori
PenColor pennacolore
Shape forma
Stamp timbro
ClearStamps cancellaretimbro
Id id
Tell dire
TellEven direpari
TellOdd diredispari
Ask domandare
AskWith domandarecon
OnClick sucliccare
OnMove sumuovere
OnKey suchiave
